CURSO	PERÍODO	DISCIPLINA	MATRIZ	H/A CLASSIS (PAGAMENTO)	MODALIDADE
Sistemas de Informação	2	BANCO DE DADOS	GRA-MAT-0228-F	4	HÍBRIDA
Sistemas de Informação	2	INTELIGÊNCIA ARTIFICIAL APLICADA	GRA-MAT-0228-F	4	NAVEGA
Análise e Desenvolvimento de Sistemas	2	CODING	GRA-MAT-2140-H	5	PRESENCIAL
Análise e Desenvolvimento de Sistemas	2	ENGENHARIA DE REQUISITOS, TESTE E QUALIDADE DE SOFTWARE	GRA-MAT-2140-H	0	NOTÁVEL MESTRE
